#QPO   EXPTIME   dHext   kTe   Lf  eta   tau   kTs   NH   NORM
 700 16384.000000  0.10    7.00    6.00    0.45    9.50   1.00    0.31   0.47
#EMIN   EMAX   rms   rms_err   plag   plag_err   sss   sss_err   RMS   RMS_err
0.500000    0.549069    0.006316    0.015513    -0.499515    0.305019    2.407283    0.012144    0.051651    0.037483
0.549069    0.602954    0.032588    0.022174    0.058025    0.384510    1.658230    0.010078    0.112086    0.036898
0.602954    0.662127    0.035750    0.009579    -0.417517    0.227604    4.073739    0.015740    0.090576    0.038880
0.662127    0.727108    0.009735    0.005620    0.082648    0.165439    7.352993    0.021226    0.090549    0.041485
0.727108    0.798465    0.021162    0.003604    -0.040263    0.125987    12.619904    0.027684    0.216914    0.045249
0.798465    0.876825    0.018339    0.002436    0.003611    0.097855    20.797217    0.035621    0.485058    0.050635
0.876825    0.962876    0.017176    0.001907    -0.097253    0.082992    29.186543    0.042201    0.576555    0.055631
0.962876    1.057371    0.020081    0.001461    0.007985    0.068766    43.108346    0.051300    0.809262    0.063008
1.057371    1.161140    0.018931    0.001182    -0.109023    0.058889    60.079899    0.060530    1.173943    0.070944
1.161140    1.275093    0.019525    0.000995    -0.087890    0.051851    79.590652    0.069678    1.560548    0.079140
1.275093    1.400229    0.018651    0.000873    -0.128016    0.047174    99.304082    0.077874    1.788747    0.086723
1.400229    1.537646    0.018034    0.000780    -0.199070    0.043642    121.019266    0.085897    2.172075    0.094314
1.537646    1.688548    0.016029    0.000761    -0.154460    0.043599    127.072898    0.088061    2.172157    0.096673
1.688548    1.854260    0.015830    0.000713    -0.172509    0.042264    143.067768    0.093469    2.193313    0.102083
1.854260    2.036235    0.017536    0.000725    -0.180128    0.044039    140.425103    0.092625    2.227081    0.101859
2.036235    2.236068    0.016561    0.000879    -0.255299    0.053515    103.279527    0.079432    1.642834    0.090874
2.236068    2.455513    0.014358    0.000777    -0.265687    0.050095    128.555382    0.088548    1.987016    0.099818
2.455513    2.696493    0.013679    0.000792    -0.456241    0.053018    126.929900    0.087942    1.907562    0.100391
2.696493    2.961124    0.014126    0.000796    -0.364622    0.055666    128.644853    0.088547    1.926054    0.102274
2.961124    3.251725    0.013089    0.000823    -0.519165    0.059945    125.105951    0.087360    1.453668    0.102890
3.251725    3.570845    0.011359    0.000853    -0.639700    0.064706    121.718517    0.086187    1.601700    0.103806
3.570845    3.921282    0.011238    0.000902    -0.876307    0.070614    115.315500    0.083880    0.980300    0.103956
3.921282    4.306112    0.012202    0.000978    -0.944046    0.077728    105.105349    0.080113    1.109917    0.102850
4.306112    4.728708    0.009890    0.001077    -0.852403    0.084920    93.188482    0.075469    1.006499    0.100463
4.728708    5.192777    0.010715    0.001191    -1.247738    0.090827    80.859701    0.070271    0.779793    0.096389
5.192777    5.702389    0.011645    0.001321    -1.407401    0.094582    68.292545    0.064585    0.770825    0.090295
5.702389    6.262014    0.013517    0.001474    -1.743069    0.096344    55.962422    0.058426    0.653890    0.082417
6.262014    6.876560    0.011840    0.001668    -1.803848    0.097186    44.006182    0.051849    0.467941    0.073452
6.876560    7.551417    0.016917    0.001940    -1.932849    0.098642    33.062646    0.044909    0.516971    0.064092
7.551417    8.292503    0.015406    0.002333    -1.915214    0.101686    23.538589    0.037922    0.379073    0.054960
8.292503    9.106318    0.019896    0.002912    -2.069235    0.107070    15.943223    0.031215    0.300073    0.046482
9.106318    10.000000    0.019853    0.003803    -1.949047    0.115884    10.186569    0.024968    0.284903    0.038847
